datetime;total_votes;thaisia_b;Есения;pupsique;Wiedemann;Terkin;voklo;Bf109H;XASSA;uisky;akuaku
2019-06-05 05:11:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:12:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:13:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:14:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:15:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:16:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:17:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:18:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:19:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:20:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:21:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:22:59;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:23:58;49;6;10;0;4;4;9;6;1;3;0
2019-06-05 05:24:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:25:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:26:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:27:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:28:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:29:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:30:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:31:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:32:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:33:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:34:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:35:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:36:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:37:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:38:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:39:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:40:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:41:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:42:59;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:43:58;50;6;11;0;4;4;9;6;1;3;0
2019-06-05 05:44:59;50;6;11;0;4;4;9;6;1;3;0
