datetime;total_votes;Shambala;daruta;pupsique;kilogramm;UncleDre;kuznet;Есения;norpo;mama_p_zh;brammator
2019-03-06 06:10:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:11:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:12:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:13:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:14:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:16:00;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:16:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:17:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:18:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:19:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:21:00;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:21:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:22:59;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:23:58;54;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:24:59;55;20;9;0;4;0;2;0;3;1;0
2019-03-06 06:25:59;55;20;9;0;4;0;2;0;3;1;0
